"","Parental.Performance","Year","Colony","microL.cm2"
"1","Nonbleach","2016","116",17.414
"2","Nonbleach","2017","116",19.09382889
"3","Bleach","2016","117",9.12
"4","Bleach","2017","117",25.337
"5","Nonbleach","2016","118",8.211
"6","Nonbleach","2017","118",27.73
"7","Bleach","2016","119",44.063
"8","Bleach","2017","119",0.021
"9","Nonbleach","2016","120",11.119
"10","Nonbleach","2017","120",26.601
"11","Bleach","2016","121",16.601
"12","Bleach","2017","121",41.288
"13","Bleach","2016","123",33.454
"14","Bleach","2017","123",1.229
"15","Nonbleach","2016","124",36.774
"16","Nonbleach","2017","124",28.240312407
"17","Bleach","2016","125",22.469
"18","Bleach","2017","125",42.056
"19","Nonbleach","2016","146",7.528
"20","Nonbleach","2017","146",5.913
"21","Bleach","2016","149",27.536
"22","Bleach","2017","149",18.68
"23","Nonbleach","2016","150",6.703
"24","Nonbleach","2017","150",2.023480908
"25","Bleach","2016","173",20.403
"26","Bleach","2017","173",31.22
"27","Nonbleach","2016","174",4.738
"28","Nonbleach","2017","174",19.575
"29","Bleach","2016","175",13.975
"30","Bleach","2017","175",30.696
