"","Colony.ID","Year","B.NB","Spawn"
"1",117,"2016","Bleach",8
"2",119,"2016","Bleach",7
"3",121,"2016","Bleach",9
"4",123,"2016","Bleach",6
"5",125,"2016","Bleach",5
"6",149,"2016","Bleach",5
"7",173,"2016","Bleach",9
"8",175,"2016","Bleach",6
"9",117,"2017","Bleach",6
"10",119,"2017","Bleach",1
"11",121,"2017","Bleach",2
"12",123,"2017","Bleach",1
"13",125,"2017","Bleach",4
"14",149,"2017","Bleach",7
"15",173,"2017","Bleach",3
"16",175,"2017","Bleach",7
"17",116,"2016","Nonbleach",5
"18",118,"2016","Nonbleach",8
"19",120,"2016","Nonbleach",7
"20",124,"2016","Nonbleach",8
"21",146,"2016","Nonbleach",6
"22",150,"2016","Nonbleach",6
"23",174,"2016","Nonbleach",11
"24",116,"2017","Nonbleach",5
"25",118,"2017","Nonbleach",4
"26",120,"2017","Nonbleach",3
"27",124,"2017","Nonbleach",5
"28",146,"2017","Nonbleach",7
"29",150,"2017","Nonbleach",2
"30",174,"2017","Nonbleach",3
